iter	RMSE
0	4328.92179
1	4271.118193
2	4193.931548
3	4115.875548
4	4048.392834
5	3984.789288
6	3923.214633
7	3861.738425
8	3790.959545
9	3730.962592
10	3688.166231
11	3637.004786
12	3591.923777
13	3534.525269
14	3480.779771
15	3441.691229
16	3389.89597
17	3337.827941
18	3286.181285
19	3228.690482
20	3201.15141
21	3166.29771
22	3135.190292
23	3100.108334
24	3062.067896
25	3027.40125
26	2993.260169
27	2963.332124
28	2936.659934
29	2901.48796
30	2872.891839
31	2850.077275
32	2819.501777
33	2796.94418
34	2771.555563
35	2742.346035
36	2722.536068
37	2707.045724
38	2686.860554
39	2659.235964
40	2639.321522
41	2617.951587
42	2594.315884
43	2577.331704
44	2560.277402
45	2541.779054
46	2527.076775
47	2504.009963
48	2483.917787
49	2469.16159
50	2457.153218
51	2446.264215
52	2437.086477
53	2424.886954
54	2412.742822
55	2391.816781
56	2383.216941
57	2371.866999
58	2356.634124
59	2337.436131
60	2317.811718
61	2303.527504
62	2292.555946
63	2282.744888
64	2270.197067
65	2259.494418
66	2249.180807
67	2235.957901
68	2226.525601
69	2219.1071
70	2208.373554
71	2198.476608
72	2186.86156
73	2172.728726
74	2164.724452
75	2157.376996
76	2149.126654
77	2138.842984
78	2129.930244
79	2120.838252
80	2113.904344
81	2107.832045
82	2101.177618
83	2093.970953
84	2082.065634
85	2072.320001
86	2064.978633
87	2057.180185
88	2050.528446
89	2045.055486
90	2038.688087
91	2034.261603
92	2027.776999
93	2018.561007
94	2012.637178
95	2005.426475
96	1998.704587
97	1990.231953
98	1982.868011
99	1978.02959
100	1969.335011
101	1966.101032
102	1962.402672
103	1955.930921
104	1950.54488
105	1945.73007
106	1941.099704
107	1935.521851
108	1928.181412
109	1922.228062
110	1917.80599
111	1910.233462
112	1906.008787
113	1900.077364
114	1895.473479
115	1889.986512
116	1887.029794
117	1880.769509
118	1876.605229
119	1870.697616
120	1866.677494
121	1861.076366
122	1855.863591
123	1850.38498
124	1845.778086
125	1839.123587
126	1834.088756
127	1827.628765
128	1821.766197
129	1816.307607
130	1812.083837
131	1807.903106
132	1803.631636
133	1799.617154
134	1795.357809
135	1791.769559
136	1787.950208
137	1783.171256
138	1778.798731
139	1773.479041
140	1768.410667
141	1762.536034
142	1758.631019
143	1754.463349
144	1749.453675
145	1746.090911
146	1741.553081
147	1736.877381
148	1731.745943
149	1727.286343
150	1722.809074
151	1718.946376
152	1714.655211
153	1707.59953
154	1704.625337
155	1698.196014
156	1694.496633
157	1691.561688
158	1687.602151
159	1683.029077
160	1677.310344
161	1670.94289
162	1668.845939
163	1662.826162
164	1659.653665
165	1656.468937
166	1653.129007
167	1649.487972
168	1644.384775
169	1640.283386
170	1636.062074
171	1633.179593
172	1627.549806
173	1624.041393
174	1621.512825
175	1615.534811
176	1610.307907
177	1605.818003
178	1602.205458
179	1599.363911
180	1594.225218
181	1590.052872
182	1585.372296
183	1582.435329
184	1579.035589
185	1574.76911
186	1571.138914
187	1568.304532
188	1563.865046
189	1558.013909
190	1554.92896
191	1551.371108
192	1548.854618
193	1544.048039
194	1541.365359
195	1537.927128
196	1534.294835
197	1528.69493
198	1527.102386
199	1524.770812
200	1522.050277
201	1519.293599
202	1514.007357
203	1509.710214
204	1506.769505
205	1501.977419
206	1497.081939
207	1493.22911
208	1490.854585
209	1486.718534
210	1482.891962
211	1479.259744
212	1475.959988
213	1473.007582
214	1470.827999
215	1467.443006
216	1465.287442
217	1462.646687
218	1460.288577
219	1458.608802
220	1453.841196
221	1451.530744
222	1446.856123
223	1443.319867
224	1441.719013
225	1439.044256
226	1435.901955
227	1432.791192
228	1429.642767
229	1426.526454
230	1423.177064
231	1420.928351
232	1419.707702
233	1417.557768
234	1415.013734
235	1411.977134
236	1410.419942
237	1406.267783
238	1404.716482
239	1401.319888
240	1396.173498
241	1392.536597
242	1390.132785
243	1388.309973
244	1387.287363
245	1383.877794
246	1381.353801
247	1379.60639
248	1376.384337
249	1374.280422
250	1373.384557
251	1370.019933
252	1367.985623
253	1364.749326
254	1360.994776
255	1357.844294
256	1356.580026
257	1355.0295
258	1351.368874
259	1348.970832
260	1347.640438
261	1344.006371
262	1342.465912
263	1341.404223
264	1339.004268
265	1336.833288
266	1333.495877
267	1330.56011
268	1329.731213
269	1327.982722
270	1327.189691
271	1325.706474
272	1323.140889
273	1319.280164
274	1317.022685
275	1314.929029
276	1314.172152
277	1312.859255
278	1309.251216
279	1306.84246
280	1304.061156
281	1300.326067
282	1296.883431
283	1295.144269
284	1293.355639
285	1291.469688
286	1290.574483
287	1289.276192
288	1285.802744
289	1282.279533
290	1279.583039
291	1278.363712
292	1276.006958
293	1274.426374
294	1271.215723
295	1269.155665
296	1267.328711
297	1265.363296
298	1261.94714
299	1258.148933
300	1255.85218
301	1252.716051
302	1251.13021
303	1248.565602
304	1246.371953
305	1244.267018
306	1242.104538
307	1239.700424
308	1237.8393
309	1235.204786
310	1232.503346
311	1231.512754
312	1230.04784
313	1228.293712
314	1226.290318
315	1223.618315
316	1221.419982
317	1218.657636
318	1216.66656
319	1214.871408
320	1212.415746
321	1209.843546
322	1206.354593
323	1203.356594
324	1200.87059
325	1199.118284
326	1196.919055
327	1195.422647
328	1192.334
329	1188.556438
330	1186.256554
331	1184.192482
332	1182.420961
333	1179.347287
334	1177.817871
335	1175.743635
336	1173.560884
337	1170.939309
338	1168.484399
339	1166.046346
340	1164.383272
341	1161.584869
342	1159.498903
343	1157.468933
344	1155.092028
345	1152.916935
346	1150.179816
347	1148.378271
348	1146.607822
349	1145.85434
350	1143.439037
351	1141.09693
352	1139.637617
353	1138.06602
354	1136.066617
355	1133.676333
356	1131.803273
357	1128.997568
358	1126.586917
359	1123.901747
360	1123.145458
361	1120.368356
362	1118.394977
363	1117.577344
364	1115.431623
365	1113.963778
366	1110.965872
367	1107.98277
368	1105.218811
369	1102.061243
370	1099.652127
371	1097.799091
372	1096.140907
373	1093.517649
374	1091.398109
375	1089.894349
376	1087.276174
377	1085.907451
378	1083.142571
379	1080.85219
380	1078.77565
381	1077.467538
382	1076.277704
383	1074.725892
384	1073.534888
385	1071.569397
386	1069.100926
387	1067.191709
388	1066.040872
389	1064.485267
390	1063.067704
391	1060.920851
392	1059.54399
393	1058.443375
394	1057.270604
395	1056.007435
396	1053.769067
397	1051.377521
398	1049.57044
399	1048.126845
400	1046.83995
401	1045.777198
402	1043.344915
403	1042.085003
404	1040.109406
405	1038.619046
406	1037.320137
407	1034.730173
408	1032.855948
409	1030.338096
410	1027.958006
411	1026.490429
412	1024.101597
413	1021.597263
414	1020.726781
415	1019.329913
416	1017.549533
417	1015.165956
418	1011.835044
419	1009.014561
420	1008.227184
421	1007.319532
422	1005.142574
423	1004.387089
424	1001.425067
425	999.0682463
426	996.8528285
427	994.4772186
428	992.4953014
429	990.5996677
430	987.9411847
431	985.4144024
432	983.7590778
433	982.5290041
434	981.8317797
435	980.3499546
436	978.1429695
437	976.0286482
438	974.7154271
439	973.3732593
440	972.4555426
441	971.3553245
442	969.4280139
443	967.8926094
444	965.6238444
445	964.289987
446	963.0487222
447	960.7925255
448	959.6960615
449	958.0597053
450	956.4620646
451	954.9096158
452	953.2038827
453	952.2926855
454	951.0519101
455	949.6059815
456	947.9857632
457	946.2618357
458	944.7321809
459	943.1574782
460	941.161607
461	939.620315
462	938.637191
463	937.0363645
464	935.6811848
465	933.3656089
466	931.9982687
467	930.6876982
468	927.3340164
469	926.7891585
470	925.2917445
471	924.523931
472	922.7933325
473	921.197576
474	920.5477012
475	918.6549496
476	917.5186043
477	915.956704
478	914.6932759
479	912.5506745
480	910.7942238
481	909.6922024
482	908.6486008
483	908.081367
484	906.6173786
485	905.8121161
486	903.7253959
487	902.9257357
488	901.4258501
489	900.6989195
490	899.7533018
491	898.0389461
492	896.3269443
493	895.1937332
494	893.593337
495	892.4686981
496	891.8596277
497	890.2384525
498	888.2734832
499	887.47516
500	885.8312697
501	884.6422681
502	883.3568304
503	882.0048415
504	880.7342655
505	879.7323976
506	878.966994
507	878.1731512
508	876.5744633
509	874.8259081
510	873.6452664
511	871.6621143
512	870.2667949
513	868.8973544
514	868.3376025
515	866.3749072
516	864.9983786
517	863.5341299
518	862.6498485
519	861.3718829
520	860.5803611
521	858.092338
522	857.150492
523	855.4355137
524	854.0839401
525	852.75033
526	851.9279738
527	850.5253847
528	849.2848685
529	847.7637083
530	846.5348273
531	845.2176328
532	844.655568
533	843.4645386
534	843.0074653
535	841.8573328
536	841.4765887
537	840.9685423
538	840.4676888
539	839.5781306
540	838.9015793
541	837.6058855
542	836.4430374
543	834.3556403
544	833.4824986
545	832.0324233
546	830.7918652
547	829.2901003
548	827.974827
549	826.8591909
550	826.1167425
551	824.6934468
552	824.1007333
553	823.3764808
554	822.3270013
555	821.551729
556	820.732127
557	818.544576
558	816.9234093
559	815.3154367
