iter	Passed	Remaining
0	1	1133
1	1	776
2	2	723
3	3	821
4	3	718
5	3	643
6	4	589
7	4	552
8	4	531
9	5	495
10	5	477
11	5	462
12	5	446
13	6	435
14	6	422
15	6	410
16	6	399
17	7	393
18	7	385
19	7	378
20	8	373
21	8	367
22	8	362
23	8	356
24	9	354
25	9	349
26	9	346
27	9	344
28	10	343
29	10	339
30	10	338
31	11	336
32	11	335
33	11	333
34	12	331
35	12	329
36	12	327
37	12	325
38	13	324
39	13	322
40	13	320
41	13	319
42	14	318
43	14	317
44	15	319
45	15	325
46	16	326
47	16	324
48	16	323
49	17	327
50	17	327
51	17	327
52	18	326
53	18	325
54	18	325
55	19	323
56	19	320
57	19	318
58	19	316
59	20	315
60	20	313
61	20	311
62	20	310
63	21	308
64	21	309
65	21	308
66	22	306
67	22	304
68	22	303
69	22	302
70	23	301
71	23	299
72	23	298
73	23	297
74	24	296
75	24	295
76	24	294
77	24	293
78	25	292
79	25	290
80	25	289
81	25	288
82	26	287
83	26	286
84	26	285
85	26	284
86	27	283
87	27	282
88	27	281
89	27	280
90	28	279
91	28	278
92	28	277
93	28	276
94	28	275
95	29	275
96	29	274
97	29	273
98	29	272
99	30	271
100	30	272
101	31	273
102	31	273
103	31	273
104	31	272
105	32	271
106	32	272
107	32	271
108	33	270
109	33	270
110	33	270
111	34	270
112	34	270
113	34	269
114	34	268
115	35	268
116	35	267
117	35	266
118	35	266
119	36	265
120	36	264
121	36	264
122	36	263
123	37	262
124	37	262
125	37	261
126	38	261
127	38	260
128	38	259
129	38	259
130	38	258
131	39	257
132	39	257
133	39	256
134	39	256
135	40	255
136	40	255
137	40	254
138	41	254
139	41	253
140	41	252
141	41	252
142	42	251
143	42	251
144	42	250
145	42	249
146	42	249
147	43	248
148	43	248
149	43	247
150	43	247
151	44	246
152	44	246
153	44	245
154	44	244
155	45	244
156	45	243
157	45	243
158	45	243
159	46	243
160	46	243
161	47	243
162	47	242
163	47	242
164	47	241
165	48	241
166	48	241
167	48	241
168	49	241
169	49	241
170	49	241
171	49	240
172	50	240
173	50	241
174	51	241
175	51	242
176	52	241
177	52	241
178	52	241
179	52	240
180	53	239
181	53	239
182	53	238
183	53	238
184	53	237
185	54	237
186	54	236
187	54	236
188	54	235
189	55	235
190	55	235
191	55	234
192	55	234
193	56	233
194	56	233
195	56	232
196	57	232
197	57	232
198	57	231
199	57	231
200	58	230
201	58	230
202	58	229
203	58	229
204	59	228
205	59	228
206	59	228
207	59	227
208	60	227
209	60	226
210	60	226
211	60	226
212	61	225
213	61	225
214	61	224
215	61	224
216	62	224
217	62	224
218	62	224
219	63	223
220	63	223
221	63	222
222	63	222
223	64	222
224	64	222
225	64	221
226	65	221
227	65	221
228	65	221
229	65	220
230	66	220
231	66	219
232	66	219
233	66	218
234	67	218
235	67	218
236	67	217
237	67	217
238	68	216
239	68	216
240	68	216
241	68	215
242	69	215
243	69	214
244	69	214
245	69	214
246	70	213
247	70	213
248	70	212
249	70	212
250	71	212
251	71	211
252	71	211
253	71	211
254	72	210
255	72	210
256	72	210
257	73	210
258	73	209
259	73	209
260	73	209
261	74	209
262	74	208
263	74	208
264	75	208
265	75	207
266	75	207
267	75	207
268	76	206
269	76	206
270	76	206
271	76	205
272	77	205
273	77	205
274	77	205
275	78	205
276	78	205
277	78	204
278	79	204
279	79	204
280	79	204
281	80	204
282	80	203
283	80	203
284	81	203
285	81	203
286	81	203
287	82	202
288	82	202
289	82	202
290	82	201
291	83	201
292	83	201
293	83	201
294	83	200
295	84	200
296	84	199
297	84	199
298	84	199
299	85	198
300	85	198
301	85	198
302	85	197
303	86	197
304	86	197
305	86	196
306	87	196
307	87	196
308	87	195
309	87	195
310	88	195
311	88	194
312	88	194
313	88	193
314	88	193
315	89	193
316	89	192
317	89	192
318	90	192
319	90	191
320	90	191
321	90	191
322	90	190
323	91	190
324	91	190
325	92	190
326	92	190
327	92	190
328	93	190
329	93	190
330	94	189
331	94	189
332	94	189
333	94	189
334	95	188
335	95	188
336	95	187
337	95	187
338	96	187
339	96	187
340	96	187
341	97	187
342	97	186
343	97	186
344	97	185
345	98	185
346	98	185
347	98	185
348	99	184
349	99	184
350	99	184
351	99	183
352	100	183
353	100	183
354	100	182
355	100	182
356	101	182
357	101	181
358	101	181
359	101	181
360	102	180
361	102	180
362	102	180
363	102	179
364	103	179
365	103	179
366	103	178
367	103	178
368	104	178
369	104	177
370	104	177
371	104	176
372	105	176
373	105	176
374	105	175
375	105	175
376	106	175
377	106	174
378	106	174
379	106	174
380	107	173
381	107	173
382	107	173
383	107	172
384	108	172
385	108	172
386	108	172
387	108	171
388	109	171
389	109	171
390	109	171
391	110	171
392	110	170
393	110	170
394	111	170
395	111	170
396	112	170
397	112	169
398	112	169
399	112	169
400	113	169
401	113	168
402	113	168
403	113	168
404	114	167
405	114	167
406	114	167
407	114	166
408	115	166
409	115	166
410	115	165
411	116	165
412	116	165
413	116	164
414	116	164
415	117	164
416	117	164
417	117	163
418	117	163
419	118	163
420	118	162
421	118	162
422	118	162
423	119	161
424	119	161
425	119	161
426	120	161
427	120	160
428	120	160
429	120	160
430	121	159
431	121	159
432	121	159
433	121	158
434	121	158
435	122	158
436	122	157
437	122	157
438	123	157
439	123	156
440	123	156
441	123	156
442	124	155
443	124	155
444	124	155
445	125	155
446	125	155
447	125	154
448	126	154
449	126	154
450	126	154
451	126	153
452	127	153
453	127	153
454	127	153
455	128	152
456	128	152
457	128	152
458	128	151
459	129	151
460	129	151
461	129	150
462	129	150
463	130	150
464	130	149
465	130	149
466	130	149
467	131	149
468	131	148
469	131	148
470	131	148
471	132	147
472	132	147
473	132	147
474	132	146
475	133	146
476	133	146
477	133	145
478	133	145
479	134	145
480	134	145
481	134	144
482	134	144
483	135	144
484	135	143
485	135	143
486	136	143
487	136	142
488	136	142
489	136	142
490	136	142
491	137	141
492	137	141
493	137	141
494	138	140
495	138	140
496	138	140
497	138	139
498	138	139
499	139	139
500	139	138
501	139	138
502	140	138
503	140	138
504	140	138
505	141	137
506	141	137
507	141	137
508	141	136
509	142	136
510	142	136
511	142	136
512	143	135
513	143	135
514	143	135
515	143	134
516	144	134
517	144	134
518	144	134
519	144	133
520	145	133
521	145	133
522	145	132
523	145	132
524	146	132
525	146	131
526	146	131
527	146	131
528	147	131
529	147	130
530	147	130
531	147	130
532	148	129
533	148	129
534	148	129
535	148	128
536	149	128
537	149	128
538	149	127
539	149	127
540	150	127
541	150	127
542	150	126
543	150	126
544	151	126
545	151	125
546	151	125
547	151	125
548	152	124
549	152	124
550	152	124
551	152	124
552	153	123
553	153	123
554	153	123
555	153	122
556	154	122
557	154	122
558	154	121
559	154	121
560	155	121
561	155	121
562	155	120
563	156	120
564	156	120
565	156	120
566	156	119
567	157	119
568	157	119
569	157	118
570	158	118
571	158	118
572	158	118
573	159	118
574	159	117
575	159	117
576	159	117
577	160	116
578	160	116
579	160	116
580	160	116
581	161	115
582	161	115
583	161	115
584	161	114
585	162	114
586	162	114
587	162	113
588	162	113
589	163	113
590	163	113
591	163	112
592	163	112
593	164	112
594	164	111
595	164	111
596	164	111
597	165	111
598	165	110
599	165	110
600	165	110
601	166	109
602	166	109
603	166	109
604	166	109
605	167	108
606	167	108
607	167	108
608	167	107
609	168	107
610	168	107
611	168	106
612	168	106
613	169	106
614	169	106
615	169	105
616	170	105
617	170	105
618	170	105
619	170	104
620	171	104
621	171	104
622	171	103
623	172	103
624	172	103
625	172	103
626	172	102
627	173	102
628	173	102
629	173	102
630	174	101
